Territory,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Albania,33.304,33.69,34.075,34.461,34.846,35.232,34.719,34.207,33.694,33.182,32.669,32.15,31.631,31.112,30.593,30.074,31.072,32.07,33.068,
Aral Lake in the former official EMEP domain,3.60E-05,3.30E-05,3.10E-05,2.80E-05,2.50E-05,2.30E-05,3.10E-05,3.90E-05,4.70E-05,5.50E-05,6.30E-05,6.70E-05,7.10E-05,7.50E-05,7.80E-05,7.90E-05,8.00E-05,8.30E-05,8.60E-05,
Armenia,23.14,23.961,24.782,25.604,26.425,27.246,29.143,31.041,32.938,34.836,36.733,38.234,39.735,41.237,42.738,44.239,39.583,34.927,30.271,
Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),5625.762,5792.012,5958.262,6124.512,6290.762,6457.012,6491.865,6526.719,6561.573,6596.427,6631.281,6754.717,6878.154,7001.591,7125.027,7248.464,7744.894,8282.947,8842.028,
Austria,181.175,175.868,171.116,167.037,153.703,157.727,159.844,155.671,150.378,137.497,137.906,132.926,130.747,124.845,118.172,113.058,111.882,112.401,109.032,
Azerbaijan,116.995,128.784,140.573,152.361,164.15,175.939,204.321,232.704,261.086,289.469,317.851,328.736,339.621,350.507,361.392,372.277,373.661,375.046,376.43,
Baltic Sea,2.978,2.91,2.903,2.876,2.834,2.797,2.756,2.747,2.634,2.585,2.661,2.606,2.589,2.549,2.465,2.439,2.469,2.463,2.487,
Belarus,367.05,366.595,366.14,365.685,365.23,364.775,365.658,366.539,387.325,361.956,307.635,345.916,347.105,338.558,330.012,310.017,290.672,285.894,281.116,
Belgium,232.118,226.071,210.365,200.14,187.917,181.842,175.396,165.389,157.547,145.347,144.068,132.204,128.628,124.964,118.343,117.537,116.73,114.937,113.925,
Black Sea,0.944,0.938,0.934,0.923,0.916,0.904,0.894,0.885,0.865,0.85,0.857,0.854,0.845,0.835,0.845,0.84,0.797,0.779,0.791,
Bosnia and Herzegovina,57.48,54.615,51.75,48.884,46.019,43.154,43.446,43.739,44.031,44.324,44.616,59.568,74.52,89.472,104.424,119.376,114.518,109.66,104.801,
Bulgaria,108.389,96.468,103.938,102.712,91.55,94.547,92.783,88.598,88.044,93.797,85.349,87.577,86.477,82.538,78.25,80.576,77.707,77.345,72.573,
Caspian Sea,0.034,0.038,0.042,0.046,0.051,0.055,0.061,0.067,0.069,0.07,0.075,0.081,0.084,0.089,0.093,0.094,0.095,0.099,0.103,
Croatia,102.812,100.583,103.396,107.284,113.911,113.773,115.129,110.748,109.368,95.423,91.899,86.592,81.103,76.666,70.062,71.279,72.978,70.214,71.081,
Cyprus,13.284,13.097,13.835,14.867,15.301,16.023,15.813,15.907,14.529,13.375,12.992,10.983,10.476,8.881,8.435,8.777,8.91,11.01,9.641,
Czechia,313.892,304.31,292.403,286.754,277.506,269.568,270.219,263.883,259.337,257.581,254.605,243.311,237.47,234.913,230.959,230.044,224.403,223.72,222.647,
Denmark,185.308,175.244,170.181,162.148,158.383,153.369,148.889,146.384,143.358,133.387,131.167,124.801,119.532,120.512,112.041,114.972,110.596,108.552,107.763,
EMEP-external part of Russian Federation,262.989,264.797,266.606,268.414,270.223,272.031,266.899,261.766,256.634,251.501,246.369,250.879,257.697,257.713,257.364,259.716,262.391,267.699,267.699,
Estonia,36.618,35.492,34.585,33.334,33.612,31.857,30.668,28.088,26.372,23.595,23.013,22.836,23.16,22.535,22.453,22.054,21.873,22.861,21.987,
Finland,177.971,175.095,166.179,161.914,157.317,146.203,140.156,136.429,120.304,111.318,113.409,103.931,101.574,96.248,93.666,88.895,89.833,87.351,85.436,
France,2044.347,1949.172,1821.231,1773.865,1661.062,1580.777,1479.267,1352.477,1272.732,1197.981,1205.871,1128.782,1075.932,1066.996,1050.323,1023.427,1001.342,1003.266,978.777,
Georgia,40.159,40.587,40.898,41.546,41.674,35.475,34.724,36.115,35.779,34.782,35.476,35.72,36.116,36.154,37.062,35.71,36.632,34.825,32.398,
Germany,1803.995,1709.079,1617.604,1536.527,1533.441,1486.3,1482.702,1420.615,1358.638,1244.959,1361.42,1272.649,1256.837,1212.408,1173.86,1147.284,1141.921,1147.27,1125.016,
Greece,308.443,305.757,318.889,330.533,341.089,333.791,310.16,287.849,261.427,249.576,215.069,200.253,193.013,175.772,171.975,164.825,156.516,152.531,146.041,
Hungary,190.298,190.416,176.672,181.53,176.672,173.667,160.551,146.48,137.527,136.785,131.686,134.978,136.143,133.237,124.167,128.41,128.503,125.719,120.038,
Iceland,8.848,8.272,8.022,7.759,7.876,7.328,7.284,7.261,6.763,6.263,5.794,5.617,5.475,5.356,5.433,5.582,5.754,5.535,5.509,
Ireland,122.623,122.669,122.792,121.158,120.54,121.116,121.13,120.309,116.504,114.075,111.003,108.152,109.286,111.138,108.186,108.872,109.954,114.913,115.144,
Italy,1630.284,1566.52,1471.685,1451.776,1348.984,1340.333,1305.142,1286.968,1264.983,1184.356,1117.295,1026.275,1030.473,999.317,927.66,900.68,884.195,924.669,897.435,
Kazakhstan,367.717,386.356,404.995,423.633,442.272,460.911,488.094,515.277,542.459,569.642,596.825,605.436,614.046,622.657,631.267,639.878,628.565,617.253,605.94,
Kazakhstan in the former official EMEP domain,55.158,57.953,60.749,63.545,66.341,69.137,73.214,77.291,81.369,85.446,89.524,90.815,92.107,93.399,94.69,95.982,94.285,92.588,90.891,
Kyrgyzstan,21.369,23.401,25.433,27.465,29.497,31.529,33.925,36.321,38.716,41.112,43.508,47.317,51.126,54.934,58.743,62.552,57.325,52.098,46.87,
Latvia,54.008,56.748,55.634,55.308,54.409,54.198,53.781,52.762,47.665,47.649,44.563,44.983,45.187,43.908,44.283,41.597,39.847,40.381,44.703,
Liechtenstein,0.56,0.486,0.454,0.423,0.383,0.377,0.366,0.357,0.353,0.346,0.341,0.335,0.333,0.321,0.313,0.305,0.298,0.294,0.289,
Lithuania,60.659,57.327,60.087,58.491,57.482,63.081,64.281,64.063,64.273,59.155,58.235,56.82,56.297,54.876,53.501,52.221,51.715,51.491,51.883,
Luxembourg,16.109,15.887,15.854,14.531,16.008,15.22,13.507,12.358,13.6,12.465,11.815,11.728,12.048,11.617,10.945,10.661,10.71,10.724,10.584,
Malta,3.816,3.653,3.983,3.175,2.956,2.837,2.583,2.553,2.215,3.374,3.655,3.297,3.184,3.603,3.049,2.975,2.864,2.984,2.729,
Mediterranean Sea,11.961,11.853,11.674,11.563,11.437,11.3,11.218,11.114,10.611,10.338,10.739,10.455,10.662,10.501,9.838,10.275,10.054,10.255,10.327,
Modified Remaining Asian Areas in the former official EMEP domain,2954.145,3036.914,3119.684,3202.454,3285.223,3367.993,3408.54,3449.087,3489.633,3530.18,3570.727,3911.764,4219.214,4546.989,4878.897,5215.8,5567.172,5943.346,6333.644,
Monaco,0.416,0.399,0.371,0.356,0.335,0.365,0.313,0.308,0.299,0.27,0.248,0.271,0.265,0.261,0.263,0.26,0.26,0.244,0.244,
Montenegro,9.11,8.072,9.436,9.591,9.106,8.325,9.139,9.191,9.604,9.17,9.731,10.135,10.145,9.101,9.057,9.284,9.043,8.972,8.677,
Netherlands,335.247,306.433,290.791,283.003,262.368,266.734,260.446,262.528,256.315,257.589,268.026,264.453,258.254,255.745,243.471,251.084,247.353,247.666,240.446,
North Africa,1210.937,1227.532,1244.128,1260.723,1277.319,1293.914,1302.487,1311.059,1319.632,1328.204,1336.777,1357.108,1377.439,1397.769,1418.1,1438.431,1453.676,1515.442,1563.156,
North Macedonia,46.422,38.596,37.61,37.209,37.425,32.401,32.642,33.757,35.225,34.823,26.976,29.936,29.963,29.852,26.535,26.074,25.681,26.316,25.418,
North Sea,6.492,6.227,6.135,6.039,5.983,5.914,5.861,5.769,5.579,5.496,5.606,5.538,5.548,5.477,5.184,5.292,5.274,5.129,5.177,
Norway,415.397,425.101,382.23,335.171,298.536,250.703,220.969,214.248,181.357,165.226,168.634,159.808,161.036,159.808,169.461,164.885,162.727,159.76,157.065,
Poland,784.407,754.427,774.39,741.622,768.806,765.799,821.733,801.432,822.063,773.817,738.137,727.708,704.375,652.405,648.301,667.617,695.98,710.741,679.772,
Portugal,238.09,233.565,227.593,216.683,209.606,197.727,190.326,185.045,175.663,160.909,162.132,152.21,148.384,145.658,150.896,153.199,149.76,152.381,154.423,
Remaining Asian Areas in the extended EMEP domain,2246.085,2290.279,2334.473,2378.667,2422.861,2467.055,2526.913,2586.772,2646.631,2706.489,2766.348,3030.56,3268.75,3522.687,3779.826,4040.835,4313.053,4604.486,4906.862,
Remaining North-East Atlantic Ocean,7.647,7.58,7.453,7.372,7.3,7.227,7.174,7.088,6.804,6.705,6.855,6.89,6.769,6.662,6.186,6.501,6.41,6.328,6.46,
Republic of Moldova,32.643,37.463,41.124,43.43,46.314,51.557,45.588,41.44,42.968,41.558,45.33,45.897,43.728,43.059,51.757,55.76,59.894,66.592,72.025,
Rest of Aral Lake in the extended EMEP domain,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011,0.00024,0.00037,0.0005,0.00063,0.00076,0.00081,0.00085,0.0009,0.00094,0.001,0.001,0.001,0.001,
Rest of Kazakhstan in the extended EMEP domain,312.559,328.402,344.245,360.088,375.931,391.774,414.88,437.985,461.09,484.196,507.301,514.62,521.939,529.258,536.577,543.896,534.281,524.665,515.049,
Rest of Russian Federation in the extended EMEP domain,706.796,712.085,717.374,722.662,727.951,733.239,724.331,715.423,706.515,697.608,688.7,701.308,720.367,720.41,719.434,726.009,733.488,748.325,748.325,
Rest of Turkmenistan in the extended EMEP domain,65.493,67.396,71.737,74.592,77.994,77.347,76.628,77.467,78.946,76.939,83.136,86.91,88.353,89.818,91.284,92.749,103.607,114.465,125.323,
Rest of Uzbekistan in the extended EMEP domain,219.642,217.521,212.76,210.819,204.758,206.378,211.52,213.768,217.679,225.279,221.972,222.562,225.012,228.744,232.477,236.209,263.861,291.513,319.165,
Romania,289.749,274.198,278.496,292.781,301.924,324.568,325.794,304.378,321.603,278.401,267.564,258.709,258.937,250.708,245.334,238.913,236.799,239.961,235.934,
Russian Federation,2758.516,2754.666,2750.817,2746.968,2743.118,2739.269,2689.141,2639.014,2588.887,2538.76,2488.632,2534.192,2603.064,2603.217,2599.692,2623.45,2650.475,2702.659,2739.346,
Russian Federation in the extended EMEP domain (RU+RFE+RUX),1080.329,1077.448,1074.567,1071.686,1068.805,1065.924,1056.238,1046.552,1036.865,1027.179,1017.492,1024.519,1031.546,1038.574,1045.601,1052.628,1063.471,1084.41,1099.13,
Serbia,149.336,147.185,148.03,151.328,153.958,149.411,146.777,150.695,145.562,144.822,136.855,136.654,130.727,130.063,119.429,125.856,124.311,122.611,120.306,
Slovakia,152.924,154.037,140.728,140.392,141.29,149.743,143.413,138.077,134.528,125.214,124.662,122.082,118.289,116.148,97.748,112.078,113.281,110.939,102.531,
Slovenia,54.94,55.534,51.513,51.07,48.944,48.326,46.187,46.173,44.21,40.648,39.911,37.384,35.898,35.036,32.464,32.763,32.949,32.556,32.318,
Spain,933.895,906.571,870.443,837.806,817.714,787.215,757.734,742.588,675.832,617.666,616.821,592.555,567.899,555.578,556.853,577.175,585.525,597.602,610.342,
Sweden,223.03,212.99,208.214,209.032,206.299,204.416,199.518,204.836,195.917,180.719,176.702,174.231,165.964,158.244,154.213,154.78,147.834,140.407,136.445,
Switzerland,153.919,145.647,134.88,126.578,118.365,115.326,111.88,108.898,106.523,103.099,100.228,96.732,95.234,92.592,89.172,86.054,83.843,82.969,81.961,
Tajikistan,22.076,23.251,23.999,23.635,26.97,27.513,29.717,32.447,33.315,34.232,36.313,37.806,46.978,49.525,56.996,58.673,65.541,72.41,79.279,
Turkey,1607.531,1473.202,1290.98,1247.865,1180.417,1110.974,1090.726,986.991,1085.734,1092.187,1102.833,1076.897,1130.27,1071.905,1065.323,1107.773,1084.928,1109.943,1088.679,
Turkmenistan,83.543,86.002,91.778,95.766,100.293,99.497,98.315,99.552,101.496,98.725,106.637,111.32,110.673,118.275,124.362,127.277,142.177,157.077,171.977,
Turkmenistan in the former official EMEP domain,16.373,16.849,17.934,18.648,19.499,19.337,19.157,19.367,19.737,19.235,20.784,21.728,22.088,22.455,22.821,23.187,25.902,28.616,31.331,
Ukraine,609.878,616.189,622.5,628.811,635.122,641.433,622.53,603.628,584.725,565.823,546.92,525.529,504.138,482.748,461.357,439.966,425.867,411.768,397.668,
United Kingdom,1648.305,1570.327,1480.67,1366.101,1278.372,1196.534,1147.414,1107.017,1025.598,920.885,880.21,864.926,854.159,825.63,820.691,819.947,799.412,807.097,820.34,
Uzbekistan,225.931,223.517,218.213,215.809,209.168,210.64,216.049,218.511,222.129,230.413,226.849,227.018,224.837,221.034,213.819,215.572,240.808,266.044,291.28,
Uzbekistan in the former official EMEP domain,6.793,6.727,6.58,6.52,6.333,6.383,6.542,6.611,6.732,6.967,6.865,6.883,6.959,7.075,7.19,7.305,8.161,9.016,9.871,
,,,,,,,,,,,,,,,,,,,,
Total (Gg),34191.19,33919.04,33560.60,33484.06,33377.19,33352.39,33197.21,32849.38,32691.10,32154.26,32160.89,32619.36,33316.61,33764.47,34293.40,35103.25,36218.35,37709.23,38947.42,
