,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,ACET,0.013706341,0.013107072,0.013290122,0.013810822,0.014374343,0.015113074,0.015237949,0.014885697,0.014787675,0.014048388,0.01431804,0.013649672,0.013952899,0.014866468,0.015468561,0.016292949,0.016441254,0.01689237,0.016526981,0.01587626,0.016515958,0.01643741,0.016180055,0.016357089,0.016310361,0.016250674,0.016770915,0.016588419
1,ALK4,0.374047543,0.373237449,0.378690646,0.380151432,0.388883877,0.376437058,0.3704555,0.3746703,0.368995396,0.36604567,0.374768646,0.38163056,0.382166223,0.364822028,0.353722939,0.341412728,0.338053383,0.336165028,0.320488389,0.311127699,0.294275385,0.295827123,0.287584981,0.274843465,0.283489502,0.28364312,0.283497217,0.285245487
2,AROM,0.035383826,0.034745603,0.034243937,0.034823081,0.035800181,0.035211034,0.034264919,0.032702601,0.032729136,0.032641444,0.031861501,0.030172149,0.029393851,0.029696238,0.030612584,0.031206691,0.032121922,0.031899456,0.03082444,0.028145556,0.027273442,0.028709253,0.02865269,0.027362139,0.027720138,0.028304079,0.028441466,0.027968866
3,BENZ,0.028450904,0.02925046,0.029447269,0.029965862,0.030343241,0.030823028,0.030911599,0.029161118,0.028634052,0.028747699,0.027223267,0.026725666,0.025284085,0.025766426,0.026525133,0.026456015,0.026053005,0.025470811,0.026819105,0.025432353,0.02636782,0.024314121,0.025129774,0.026275012,0.02464775,0.025055805,0.025273329,0.024891092
4,C2H6,0.112616703,0.115141479,0.110295095,0.098977813,0.08122983,0.087505867,0.086315205,0.094918188,0.093243505,0.092213932,0.088852641,0.091833493,0.091816462,0.094107473,0.094066893,0.091507632,0.089712366,0.088615362,0.090781167,0.095705959,0.0967747,0.093993977,0.09153782,0.085676588,0.078993234,0.073664059,0.060811701,0.062438864
5,C3H8,0.067332112,0.067777785,0.067585981,0.065264346,0.062501463,0.060370808,0.060048009,0.062442999,0.061167749,0.061316402,0.062095771,0.06564664,0.066528878,0.06210695,0.059443582,0.058535363,0.057140161,0.059032754,0.057519973,0.058966193,0.058493827,0.057564797,0.05793525,0.057025846,0.055665331,0.053943517,0.049676395,0.053020814
6,CH2O,0.014218826,0.014529395,0.014811962,0.01586507,0.016557698,0.017235261,0.018372487,0.01732107,0.018240591,0.017914729,0.019309314,0.01815647,0.020361763,0.018821972,0.0198415,0.02114944,0.020595468,0.018920263,0.019228074,0.018981761,0.019066324,0.016712641,0.017696716,0.018387323,0.017592997,0.017792432,0.016849655,0.018145087
7,EOH,0.067537147,0.068527322,0.070174044,0.074229436,0.079063875,0.084364287,0.087194761,0.089694382,0.097781081,0.10549416,0.108863479,0.110293495,0.114049378,0.125829533,0.133365416,0.143151975,0.148654877,0.155559058,0.171781356,0.194302081,0.206711156,0.210257609,0.22019435,0.235681965,0.241946037,0.249278901,0.259990229,0.257472895
8,MEK,0.011303728,0.010672732,0.010699259,0.011351624,0.012067347,0.011963317,0.01187201,0.011935736,0.012527236,0.012250019,0.011872169,0.011396855,0.011643228,0.012545934,0.013585081,0.014042535,0.014943141,0.015194833,0.014717194,0.01397909,0.014326117,0.015230712,0.014829239,0.014872182,0.014569223,0.014191222,0.014539106,0.014277193
9,NONE,0.082173365,0.082114073,0.082092271,0.08359543,0.084360802,0.086928314,0.094044834,0.090716175,0.091405105,0.091980656,0.090686092,0.088072813,0.087629369,0.093251009,0.094533313,0.0978566,0.097857777,0.097999819,0.101364414,0.103105964,0.108322869,0.1056148,0.108926981,0.113852719,0.11245893,0.11472581,0.118885682,0.117946822
10,PRPE,0.041061595,0.04142296,0.041384164,0.041597724,0.040696652,0.040977788,0.040652777,0.03758727,0.036115603,0.034120124,0.031796236,0.029423625,0.027804657,0.027332109,0.026081282,0.02539982,0.024023412,0.023149955,0.023284879,0.020370792,0.020265659,0.0185547,0.017715101,0.017151556,0.016166892,0.015752175,0.016105515,0.015645302
11,RCHO,0.006578568,0.006263988,0.006240761,0.006382151,0.006871949,0.007005663,0.006838386,0.006588448,0.006841607,0.006902696,0.006957953,0.006794162,0.006727013,0.007393987,0.00809457,0.00858567,0.00890769,0.009096444,0.00855938,0.008080643,0.008572235,0.008793478,0.008653832,0.009125226,0.008804402,0.008614592,0.009298513,0.009019068
12,ROH,0.010349049,0.010149765,0.010309163,0.010955015,0.011481152,0.011958274,0.011667249,0.011954969,0.012620277,0.012774693,0.012697228,0.012318542,0.012505186,0.01352831,0.014628338,0.015407657,0.016068691,0.01623713,0.016766792,0.017032785,0.017658815,0.017959729,0.017847807,0.018010714,0.017985016,0.017917839,0.018403617,0.01823466
13,TMB,0.022653832,0.022520166,0.022392862,0.022840912,0.023579302,0.02418436,0.024540072,0.023477398,0.02373517,0.024041782,0.023636027,0.024144627,0.02386193,0.024489701,0.025277112,0.025563106,0.025787944,0.025288107,0.025129657,0.022011781,0.020670407,0.020578665,0.019590182,0.019461299,0.020129742,0.020465346,0.02085401,0.020250681
14,TOLU,0.062197895,0.062380687,0.06187684,0.062368745,0.062219195,0.06202251,0.061179828,0.057313698,0.056757828,0.055440292,0.051909489,0.049459029,0.047135341,0.046417344,0.045731649,0.044277545,0.042612875,0.040421007,0.039550802,0.033851192,0.032258978,0.031154192,0.029511813,0.028350919,0.026706971,0.025432443,0.025604961,0.024760997
15,XYLE,0.028346987,0.02625855,0.024947502,0.026197977,0.028359315,0.026887123,0.026069629,0.025716211,0.025961807,0.026109894,0.026371822,0.024856656,0.024770239,0.025254786,0.025750371,0.026370718,0.028412219,0.028103213,0.025476168,0.0234026,0.023256905,0.028334807,0.028349983,0.028181919,0.027681417,0.0262601,0.026281429,0.025630011
16,XYLO,0.022041578,0.021900515,0.021518122,0.02162256,0.021609777,0.021012234,0.020334787,0.018913741,0.01845618,0.017957419,0.016780324,0.015425545,0.014369499,0.013769732,0.013271678,0.012783558,0.012613814,0.01195439,0.01118123,0.009627289,0.009189403,0.009961987,0.009663426,0.009384037,0.009132057,0.008707887,0.008716262,0.008463742
