Lev,Eta Edge,Eta Mid,Altitude (km),Pressure (hPa)
1,,0.9925,0.058,1005.650
2,,0.977456,0.189,990.408
3,,0.96237,0.32,975.122
4,,0.947285,0.454,959.837
5,,0.9322,0.589,944.553
6,,0.917116,0.726,929.268
7,,0.902031,0.864,913.984
8,,0.886948,1.004,898.701
9,,0.871864,1.146,883.418
10,,0.856781,1.29,868.135
11,,0.841698,1.436,852.852
12,,0.826616,1.584,837.570
13,,0.809021,1.759,819.743
14,,0.7864,1.988,796.822
15,,0.761265,2.249,771.354
16,,0.736134,2.517,745.890
17,,0.711006,2.792,720.429
18,,0.685878,3.074,694.969
19,,0.654471,3.439,663.146
20,,0.61679,3.896,624.967
21,,0.579115,4.375,586.793
22,,0.541449,4.879,548.628
23,,0.503795,5.413,510.475
24,,0.466153,5.98,472.335
25,,0.428528,6.585,434.212
26,,0.390927,7.237,396.112
27,,0.353349,7.943,358.038
28,,0.309854,8.846,313.966
29,,0.263587,9.936,267.087
30,,0.223772,11.021,226.745
31,,0.190061,12.086,192.587
32,,0.161513,13.134,163.661
33,,0.137287,14.17,139.115
34,,0.116695,15.198,118.250
35,,0.099191,16.222,100.514
36,,0.084313,17.243,85.439
37,,0.066559,18.727,67.450
38,,0.047641,20.836,48.282
39,,0.033814,23.02,34.272
40,,0.023755,25.307,24.080
41,,0.014342,28.654,14.542
42,,0.006588,34.024,6.685
43,,0.002816,40.166,2.864
44,,0.001109,47.135,1.134
45,,0.000399,54.834,0.414
46,,0.000127,63.053,0.139
47,,0.000028,72.18,0.038
