,O3
1980-12-31,22.427769680913602
1981-12-31,22.0337106304404
1982-12-31,21.87195427203762
1983-12-31,21.221086559534502
1984-12-31,21.66894960833498
1985-12-31,22.597118806962946
1986-12-31,22.58996133497979
1987-12-31,22.62339248450745
1988-12-31,22.64671765384304
1989-12-31,22.740554545953483
1990-12-31,22.96933190067625
1991-12-31,22.831824192420036
1992-12-31,21.922345201576316
1993-12-31,21.962481269317635
1994-12-31,22.763269951140565
1995-12-31,22.756158295408746
1996-12-31,22.791772349554115
1997-12-31,23.56230456032342
1998-12-31,23.958237101708367
1999-12-31,22.893873500185634
2000-12-31,23.688306946892123
2001-12-31,23.82348124984583
2002-12-31,23.758181553985683
2003-12-31,23.649764768873183
2004-12-31,23.62915172023511
2005-12-31,23.822534111612256
2006-12-31,23.85469780140721
2007-12-31,23.764428209756353
2008-12-31,23.58897091997278
2009-12-31,23.19159075726692
2010-12-31,23.806485581812165
2011-12-31,23.638988464856418
2012-12-31,23.53957593516926
2013-12-31,23.592644534724734
2014-12-31,23.476084528998562
2015-12-31,23.48632816383524
2016-12-31,23.469826317081974
2017-12-31,24.10142663888518
2018-12-31,23.932435926588823
2019-12-31,23.766213857804352
