,cvao
2006-01-01,108.92138
2006-02-01,110.29362
2006-03-01,109.00242
2006-04-01,99.92794
2006-05-01,90.35447
2006-06-01,87.562965
2006-07-01,83.42334
2006-08-01,78.62044
2006-09-01,83.49728
2006-10-01,77.93156
2006-11-01,81.00457
2006-12-01,99.85484
2007-01-01,105.82414
2007-02-01,109.317764
2007-03-01,114.50383
2007-04-01,108.86244
2007-05-01,101.08688
2007-06-01,83.89
2007-07-01,78.36176
2007-08-01,72.8608
2007-09-01,75.293564
2007-10-01,74.91607
2007-11-01,82.58335
2007-12-01,93.74715
2008-01-01,100.97548
2008-02-01,102.89812
2008-03-01,98.07317
2008-04-01,101.46094
2008-05-01,91.82613
2008-06-01,86.91737
2008-07-01,79.87988
2008-08-01,78.49106
2008-09-01,77.21607
2008-10-01,79.05185
2008-11-01,86.71904
2008-12-01,94.16189
2009-01-01,98.796104
2009-02-01,103.39446
2009-03-01,101.91807
2009-04-01,100.20705
2009-05-01,92.76231
2009-06-01,78.38078
2009-07-01,70.16804
2009-08-01,72.790535
2009-09-01,79.792046
2009-10-01,71.26017
2009-11-01,77.79817
2009-12-01,86.77699
2010-01-01,95.33987
2010-02-01,99.44365
2010-03-01,101.76698
2010-04-01,100.73836
2010-05-01,93.979164
2010-06-01,85.25801
2010-07-01,82.45222
2010-08-01,80.890236
2010-09-01,81.031746
2010-10-01,81.155754
2010-11-01,86.16689
2010-12-01,93.65731
2011-01-01,96.07901
2011-02-01,101.67174
2011-03-01,102.9789
2011-04-01,95.194664
2011-05-01,85.318634
2011-06-01,78.01905
2011-07-01,74.56738
2011-08-01,74.67668
2011-09-01,73.91016
2011-10-01,80.58311
2011-11-01,83.97311
2011-12-01,89.180664
2012-01-01,96.994156
2012-02-01,104.37565
2012-03-01,102.09584
2012-04-01,96.27654
2012-05-01,85.40607
2012-06-01,73.946754
2012-07-01,77.71198
2012-08-01,80.82099
2012-09-01,80.16722
2012-10-01,80.51598
2012-11-01,85.49344
2012-12-01,92.84416
2013-01-01,101.081726
2013-02-01,100.59999
2013-03-01,100.425064
2013-04-01,97.101425
2013-05-01,88.05875
2013-06-01,80.60883
2013-07-01,83.082664
2013-08-01,88.576805
2013-09-01,85.246124
2013-10-01,74.31599
2013-11-01,79.057396
2013-12-01,93.54463
2014-01-01,94.52116
2014-02-01,94.97677
2014-03-01,97.55711
2014-04-01,96.660065
2014-05-01,84.89301
2014-06-01,75.732506
2014-07-01,74.200035
2014-08-01,79.752205
2014-09-01,83.72454
2014-10-01,78.85822
2014-11-01,86.719574
2014-12-01,97.6601
2015-01-01,103.34905
2015-02-01,99.9829
2015-03-01,103.005424
2015-04-01,93.93162
2015-05-01,87.71316
2015-06-01,79.870445
2015-07-01,81.050705
2015-08-01,84.09081
2015-09-01,81.41812
2015-10-01,83.16804
2015-11-01,86.264854
2015-12-01,96.084145
2016-01-01,100.38458
2016-02-01,107.737946
2016-03-01,104.03435
2016-04-01,94.67172
2016-05-01,89.37559
2016-06-01,79.49404
2016-07-01,76.661995
2016-08-01,80.13553
2016-09-01,81.22968
2016-10-01,74.37663
2016-11-01,83.9602
2016-12-01,90.52717
2017-01-01,94.51996
2017-02-01,94.25032
2017-03-01,96.416275
2017-04-01,87.49688
2017-05-01,83.10611
2017-06-01,73.97322
2017-07-01,71.97271
2017-08-01,82.44674
2017-09-01,99.588875
2017-10-01,87.25091
2017-11-01,87.45033
2017-12-01,95.67162
2018-01-01,96.40174
2018-02-01,101.02572
2018-03-01,97.264404
2018-04-01,93.97386
2018-05-01,90.15103
2018-06-01,78.435165
2018-07-01,78.07617
2018-08-01,84.53281
2018-09-01,88.146996
2018-10-01,82.05921
2018-11-01,83.49059
2018-12-01,89.20066
2019-01-01,93.46466
2019-02-01,97.00129
2019-03-01,97.02571
2019-04-01,97.816376
2019-05-01,84.670204
2019-06-01,78.9948
2019-07-01,77.37844
2019-08-01,87.67816
2019-09-01,88.64978
2019-10-01,89.52422
2019-11-01,87.85131
2019-12-01,97.82906
2020-01-01,109.15141
2020-02-01,105.84458
2020-03-01,108.96764
2020-04-01,100.90842
2020-05-01,97.07081
2020-06-01,83.7565
2020-07-01,77.31793
2020-08-01,90.20815
2020-09-01,92.55331
2020-10-01,94.43704
2020-11-01,93.95052
2020-12-01,97.98946
