,cvao
2010-01-01,40.329685
2010-02-01,36.20638
2010-03-01,30.45675
2010-04-01,17.627438
2010-05-01,9.486146
2010-06-01,7.5808616
2010-07-01,7.7788205
2010-08-01,7.5113354
2010-09-01,8.23321
2010-10-01,11.714358
2010-11-01,16.072258
2010-12-01,29.574648
2011-01-01,41.834457
2011-02-01,50.40795
2011-03-01,39.358345
2011-04-01,17.952204
2011-05-01,8.438274
2011-06-01,5.8320966
2011-07-01,5.6376634
2011-08-01,6.0944705
2011-09-01,7.0997844
2011-10-01,13.919568
2011-11-01,20.784006
2011-12-01,40.15788
2012-01-01,53.227463
2012-02-01,54.230362
2012-03-01,34.641228
2012-04-01,17.853367
2012-05-01,8.218191
2012-06-01,4.246533
2012-07-01,6.312701
2012-08-01,7.3965373
2012-09-01,8.208823
2012-10-01,10.272638
2012-11-01,17.997673
2012-12-01,34.365192
2013-01-01,51.12503
2013-02-01,43.140007
2013-03-01,29.911173
2013-04-01,17.979704
2013-05-01,9.178914
2013-06-01,7.356561
2013-07-01,8.65298
2013-08-01,11.175032
2013-09-01,11.397777
2013-10-01,7.8521614
2013-11-01,15.014439
2013-12-01,37.728443
2014-01-01,47.35407
2014-02-01,47.705456
2014-03-01,33.973473
2014-04-01,18.87708
2014-05-01,6.8413687
2014-06-01,4.7686496
2014-07-01,5.0381684
2014-08-01,7.8335977
2014-09-01,9.708836
2014-10-01,9.084599
2014-11-01,20.129845
2014-12-01,41.165257
2015-01-01,58.82373
2015-02-01,42.172676
2015-03-01,39.326603
2015-04-01,15.309516
2015-05-01,9.825844
2015-06-01,5.7065654
2015-07-01,7.675021
2015-08-01,7.171961
2015-09-01,7.8456492
2015-10-01,13.167759
2015-11-01,21.247507
2015-12-01,36.48663
2016-01-01,36.061363
2016-02-01,50.937622
2016-03-01,33.14453
2016-04-01,15.199849
2016-05-01,8.940422
2016-06-01,5.4477696
2016-07-01,5.901705
2016-08-01,7.857706
2016-09-01,11.040392
2016-10-01,8.469417
2016-11-01,18.062866
2016-12-01,36.001366
2017-01-01,44.018116
2017-02-01,37.80497
2017-03-01,29.905247
2017-04-01,11.123556
2017-05-01,7.224056
2017-06-01,4.4177623
2017-07-01,5.718486
2017-08-01,9.191977
2017-09-01,22.104702
2017-10-01,14.432292
2017-11-01,15.709764
2017-12-01,44.577557
2018-01-01,49.703167
2018-02-01,51.456207
2018-03-01,32.502438
2018-04-01,20.89043
2018-05-01,11.472906
2018-06-01,6.0150275
2018-07-01,6.5861473
2018-08-01,9.859056
2018-09-01,14.895079
2018-10-01,11.4042845
2018-11-01,17.091175
2018-12-01,34.43278
2019-01-01,42.4966
2019-02-01,46.017723
2019-03-01,33.000454
2019-04-01,19.82983
2019-05-01,6.7355027
2019-06-01,4.7545896
2019-07-01,5.5848594
2019-08-01,8.900574
2019-09-01,10.191834
2019-10-01,17.668905
2019-11-01,16.493437
2019-12-01,33.222073
