,cvao
2006-01-01,1023.965
2006-02-01,1055.418
2006-03-01,1034.745
2006-04-01,868.3559
2006-05-01,713.00946
2006-06-01,581.8005
2006-07-01,409.61758
2006-08-01,330.39194
2006-09-01,347.54578
2006-10-01,418.26083
2006-11-01,494.463
2006-12-01,832.5179
2007-01-01,923.5079
2007-02-01,984.23694
2007-03-01,1049.0513
2007-04-01,989.5668
2007-05-01,847.51294
2007-06-01,591.9796
2007-07-01,395.08615
2007-08-01,330.63873
2007-09-01,308.22464
2007-10-01,400.37585
2007-11-01,576.39087
2007-12-01,788.44775
2008-01-01,925.8902
2008-02-01,913.61865
2008-03-01,826.3117
2008-04-01,917.4215
2008-05-01,739.60925
2008-06-01,607.2421
2008-07-01,413.1414
2008-08-01,349.1397
2008-09-01,347.5623
2008-10-01,452.78632
2008-11-01,652.86316
2008-12-01,872.6193
2009-01-01,934.5595
2009-02-01,1045.5106
2009-03-01,899.8698
2009-04-01,920.0398
2009-05-01,801.6997
2009-06-01,504.43658
2009-07-01,335.84244
2009-08-01,300.13583
2009-09-01,358.92303
2009-10-01,362.49478
2009-11-01,505.47498
2009-12-01,676.033
2010-01-01,872.7147
2010-02-01,848.3354
2010-03-01,902.93475
2010-04-01,888.63086
2010-05-01,769.3816
2010-06-01,595.82574
2010-07-01,410.5648
2010-08-01,316.7217
2010-09-01,339.8199
2010-10-01,431.3925
2010-11-01,565.6772
2010-12-01,782.4017
2011-01-01,896.9302
2011-02-01,987.2806
2011-03-01,1060.676
2011-04-01,892.74036
2011-05-01,676.40216
2011-06-01,491.8726
2011-07-01,382.06665
2011-08-01,295.57886
2011-09-01,311.4529
2011-10-01,393.38852
2011-11-01,667.49023
2011-12-01,763.16144
2012-01-01,920.67896
2012-02-01,1052.9822
2012-03-01,945.89557
2012-04-01,919.50336
2012-05-01,706.3741
2012-06-01,447.70557
2012-07-01,383.132
2012-08-01,373.94717
2012-09-01,351.76898
2012-10-01,483.76334
2012-11-01,632.0983
2012-12-01,806.14764
2013-01-01,947.53345
2013-02-01,969.89465
2013-03-01,950.6071
2013-04-01,869.5363
2013-05-01,735.81805
2013-06-01,549.6052
2013-07-01,414.1274
2013-08-01,438.45392
2013-09-01,387.2958
2013-10-01,418.7961
2013-11-01,540.05865
2013-12-01,775.12244
2014-01-01,937.7067
2014-02-01,968.5722
2014-03-01,979.6033
2014-04-01,939.37396
2014-05-01,655.7806
2014-06-01,516.78577
2014-07-01,406.33307
2014-08-01,406.64764
2014-09-01,434.121
2014-10-01,487.8263
2014-11-01,734.2737
2014-12-01,909.9628
2015-01-01,1072.1713
2015-02-01,1011.83496
2015-03-01,1053.6212
2015-04-01,855.38025
2015-05-01,689.55475
2015-06-01,535.30096
2015-07-01,423.9852
2015-08-01,406.59094
2015-09-01,366.71475
2015-10-01,449.55124
2015-11-01,621.4492
2015-12-01,795.3913
2016-01-01,820.8938
2016-02-01,1056.0897
2016-03-01,1058.6357
2016-04-01,861.8764
2016-05-01,781.5827
2016-06-01,545.6141
2016-07-01,372.05154
2016-08-01,318.36978
2016-09-01,357.89032
2016-10-01,395.93137
2016-11-01,585.48804
2016-12-01,819.6311
2017-01-01,943.93896
2017-02-01,940.6829
2017-03-01,968.36755
2017-04-01,741.62164
2017-05-01,741.4689
2017-06-01,450.5854
2017-07-01,376.76636
2017-08-01,370.2239
2017-09-01,601.633
2017-10-01,533.07367
2017-11-01,624.1801
2017-12-01,926.02124
2018-01-01,1011.6783
2018-02-01,1114.5662
2018-03-01,1004.43176
2018-04-01,963.4396
2018-05-01,818.6474
2018-06-01,522.6619
2018-07-01,426.09256
2018-08-01,401.11136
2018-09-01,417.1255
2018-10-01,455.1761
2018-11-01,713.47943
2018-12-01,759.5642
2019-01-01,895.9918
2019-02-01,1017.7977
2019-03-01,944.06586
2019-04-01,1016.0227
2019-05-01,665.9592
2019-06-01,544.483
2019-07-01,423.25668
2019-08-01,499.0804
2019-09-01,459.90964
2019-10-01,500.41232
2019-11-01,652.17554
2019-12-01,827.05615
2020-01-01,1017.4887
2020-02-01,846.4771
2020-03-01,972.3272
2020-04-01,860.3868
2020-05-01,810.52344
2020-06-01,519.8765
2020-07-01,400.62396
2020-08-01,539.5332
2020-09-01,496.83636
2020-10-01,577.1578
2020-11-01,685.7912
2020-12-01,886.5131
