,cvao
2016-01-01,62.80535
2016-02-01,98.637794
2016-03-01,79.073975
2016-04-01,44.72531
2016-05-01,25.340591
2016-06-01,13.396462
2016-07-01,11.710697
2016-08-01,16.940254
2016-09-01,32.763706
2016-10-01,25.129593
2016-11-01,56.404133
2016-12-01,112.73049
2017-01-01,133.22804
2017-02-01,106.33443
2017-03-01,89.49999
2017-04-01,34.147945
2017-05-01,24.968592
2017-06-01,10.978773
2017-07-01,11.120535
2017-08-01,17.92068
2017-09-01,32.499092
2017-10-01,32.53905
2017-11-01,42.41973
2017-12-01,135.75563
