,cvao
2010-01-01,3.3230708
2010-02-01,1.8898028
2010-03-01,0.8230155
2010-04-01,0.47984695
2010-05-01,0.4250952
2010-06-01,0.4023375
2010-07-01,0.5207222
2010-08-01,0.57356536
2010-09-01,0.6812622
2010-10-01,0.61530715
2010-11-01,0.98225194
2010-12-01,2.2615182
2011-01-01,2.5875556
2011-02-01,3.9292576
2011-03-01,1.5543107
2011-04-01,0.4285469
2011-05-01,0.29901114
2011-06-01,0.48555216
2011-07-01,0.45201725
2011-08-01,0.60435987
2011-09-01,0.6312643
2011-10-01,0.90382355
2011-11-01,1.428969
2011-12-01,4.3740044
2012-01-01,5.8595033
2012-02-01,4.449884
2012-03-01,1.6176043
2012-04-01,0.41813725
2012-05-01,0.39335883
2012-06-01,0.46247
2012-07-01,0.5436285
2012-08-01,0.57101256
2012-09-01,0.63637847
2012-10-01,0.6287285
2012-11-01,1.2149787
2012-12-01,3.4303412
2013-01-01,4.9491715
2013-02-01,3.0141208
2013-03-01,0.79400915
2013-04-01,0.46563005
2013-05-01,0.41470495
2013-06-01,0.47185513
2013-07-01,0.5324136
2013-08-01,0.6148502
2013-09-01,0.8683385
2013-10-01,0.626494
2013-11-01,1.1700025
2013-12-01,3.5855281
2014-01-01,6.3306475
2014-02-01,5.149482
2014-03-01,1.5588714
2014-04-01,0.47879627
2014-05-01,0.39829323
2014-06-01,0.4369234
2014-07-01,0.33763543
2014-08-01,0.50851405
2014-09-01,0.56438476
2014-10-01,0.5143278
2014-11-01,1.6580027
2014-12-01,5.2989783
2015-01-01,8.176294
2015-02-01,2.9613783
2015-03-01,2.2244062
2015-04-01,0.5066375
2015-05-01,0.66965735
2015-06-01,0.4392015
2015-07-01,0.5831048
2015-08-01,0.46570224
2015-09-01,0.5142505
2015-10-01,0.7906054
2015-11-01,1.7595412
2015-12-01,3.2053497
2016-01-01,2.7236814
2016-02-01,4.4438014
2016-03-01,1.3874023
2016-04-01,0.44902477
2016-05-01,0.29912534
2016-06-01,0.43311867
2016-07-01,0.56747866
2016-08-01,0.5916363
2016-09-01,0.96480554
2016-10-01,0.527275
2016-11-01,1.1367139
2016-12-01,3.4169188
2017-01-01,3.7811017
2017-02-01,2.2978606
2017-03-01,1.2620081
2017-04-01,0.5531289
2017-05-01,0.34937
2017-06-01,0.41106737
2017-07-01,0.4183168
2017-08-01,0.6697574
2017-09-01,0.7398866
2017-10-01,0.8558634
2017-11-01,1.0691353
2017-12-01,6.7856536
2018-01-01,7.0601997
2018-02-01,5.777926
2018-03-01,1.3438554
2018-04-01,0.58510995
2018-05-01,0.35818627
2018-06-01,0.5353994
2018-07-01,0.59436554
2018-08-01,0.5660913
2018-09-01,1.0084131
2018-10-01,0.6060551
2018-11-01,1.1128668
2018-12-01,3.2866745
2019-01-01,3.8582466
2019-02-01,3.287092
2019-03-01,1.5240018
2019-04-01,0.45279786
2019-05-01,0.33827126
2019-06-01,0.34930795
2019-07-01,0.46106076
2019-08-01,0.489398
2019-09-01,0.7155341
2019-10-01,1.2435114
2019-11-01,1.4035205
2019-12-01,3.8426342
