,mace_head
1988-01-01,179.83621
1988-02-01,186.06691
1988-03-01,174.66887
1988-04-01,184.1067
1988-05-01,173.94908
1988-06-01,141.22891
1988-07-01,119.61429
1988-08-01,102.40827
1988-09-01,98.56795
1988-10-01,143.69087
1988-11-01,149.93637
1988-12-01,150.88486
1989-01-01,158.62102
1989-02-01,176.40205
1989-03-01,173.24611
1989-04-01,176.29817
1989-05-01,161.47987
1989-06-01,133.99992
1989-07-01,106.749535
1989-08-01,94.35611
1989-09-01,96.42469
1989-10-01,111.62173
1989-11-01,188.22127
1989-12-01,217.37054
1990-01-01,163.72736
1990-02-01,175.58829
1990-03-01,167.68295
1990-04-01,174.84277
1990-05-01,165.64557
1990-06-01,126.919556
1990-07-01,123.66735
1990-08-01,95.99084
1990-09-01,98.20178
1990-10-01,132.63202
1990-11-01,152.31647
1990-12-01,158.80312
1991-01-01,186.58333
1991-02-01,197.376
1991-03-01,198.60007
1991-04-01,175.73622
1991-05-01,142.69003
1991-06-01,125.23558
1991-07-01,131.07524
1991-08-01,105.1431
1991-09-01,129.20201
1991-10-01,131.31963
1991-11-01,141.5686
1991-12-01,178.59
1992-01-01,194.21667
1992-02-01,174.24525
1992-03-01,167.62674
1992-04-01,165.74258
1992-05-01,165.92596
1992-06-01,139.04305
1992-07-01,104.089165
1992-08-01,91.74685
1992-09-01,103.499626
1992-10-01,111.0816
1992-11-01,119.38607
1992-12-01,165.85956
1993-01-01,158.97879
1993-02-01,179.40565
1993-03-01,174.51599
1993-04-01,161.8523
1993-05-01,154.88512
1993-06-01,122.336205
1993-07-01,93.76571
1993-08-01,87.576935
1993-09-01,104.09178
1993-10-01,123.1154
1993-11-01,161.91232
1993-12-01,146.40169
1994-01-01,162.03903
1994-02-01,198.79318
1994-03-01,160.84142
1994-04-01,153.61668
1994-05-01,158.03477
1994-06-01,119.32886
1994-07-01,102.302574
1994-08-01,100.44172
1994-09-01,93.21977
1994-10-01,131.0133
1994-11-01,138.06567
1994-12-01,141.02077
1995-01-01,153.4762
1995-02-01,157.54698
1995-03-01,159.77757
1995-04-01,156.49156
1995-05-01,131.04495
1995-06-01,114.45848
1995-07-01,104.19648
1995-08-01,105.96211
1995-09-01,96.30101
1995-10-01,99.283905
1995-11-01,138.99422
1995-12-01,189.60513
1996-01-01,185.16344
1996-02-01,173.01706
1996-03-01,194.76277
1996-04-01,159.63533
1996-05-01,140.59373
1996-06-01,118.11313
1996-07-01,98.39912
1996-08-01,96.29509
1996-09-01,102.89056
1996-10-01,100.081764
1996-11-01,119.216415
1996-12-01,164.31987
1997-01-01,172.11394
1997-02-01,155.5552
1997-03-01,154.21603
1997-04-01,142.48137
1997-05-01,151.20105
1997-06-01,117.58529
1997-07-01,97.04798
1997-08-01,97.54127
1997-09-01,104.25046
1997-10-01,109.682945
1997-11-01,133.07907
1997-12-01,154.96115
1998-01-01,159.70712
1998-02-01,156.58269
1998-03-01,152.78186
1998-04-01,167.53369
1998-05-01,151.78976
1998-06-01,130.91856
1998-07-01,114.48231
1998-08-01,126.30461
1998-09-01,154.04596
1998-10-01,145.52917
1998-11-01,134.46861
