Thu Dec  9 10:58:27 2021    cProfile_output

         15254792 function calls (14983050 primitive calls) in 20.212 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2469/1    0.033    0.000   20.241   20.241 {built-in method builtins.exec}
        1    0.005    0.005   20.241   20.241 profile_broader_timeseries.py:9(<module>)
        1    0.009    0.009   16.480   16.480 profile_broader_timeseries.py:118(main)
44439/39169    0.088    0.000    7.142    0.000 {built-in method numpy.array}
20040/15140    0.009    0.000    7.092    0.000 _asarray.py:16(asarray)
      840    0.000    0.000    6.804    0.008 variable.py:448(values)
      840    0.001    0.000    6.803    0.008 variable.py:240(_as_array_or_item)
       80    0.000    0.000    6.798    0.085 dataarray.py:554(values)
       20    0.000    0.000    6.797    0.340 core.py:1313(__array__)
       20    0.005    0.000    6.797    0.340 base.py:141(compute)
       20    0.001    0.000    6.792    0.340 base.py:381(compute)
       20    0.004    0.000    5.827    0.291 threaded.py:32(get)
       20    0.049    0.002    5.813    0.291 local.py:347(get_async)
      110    0.075    0.001    5.337    0.049 __init__.py:1(<module>)
     9600    0.008    0.000    5.091    0.001 local.py:132(queue_get)
     9600    0.062    0.000    5.084    0.001 queue.py:153(get)
     7566    0.033    0.000    4.943    0.001 threading.py:264(wait)
    39986    4.895    0.000    4.895    0.000 {method 'acquire' of '_thread.lock' objects}
  2099/11    0.045    0.000    4.243    0.386 <frozen importlib._bootstrap>:978(_find_and_load)
  2086/10    0.010    0.000    4.243    0.424 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  1906/11    0.010    0.000    4.235    0.385 <frozen importlib._bootstrap>:663(_load_unlocked)
  1687/11    0.006    0.000    4.234    0.385 <frozen importlib._bootstrap_external>:722(exec_module)
  2535/11    0.002    0.000    4.228    0.384 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  829/109    0.002    0.000    3.454    0.032 {built-in method builtins.__import__}
        1    0.004    0.004    3.425    3.425 profile_broader_timeseries.py:39(get_data_as_xr)
        1    0.000    0.000    3.418    3.418 api.py:710(open_mfdataset)
65795/59979    0.042    0.000    3.259    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    2.964    2.964 api.py:908(<listcomp>)
      120    0.002    0.000    2.963    0.025 api.py:290(open_dataset)
       10    0.157    0.016    2.635    0.263 lowess_smoother.py:81(loess)
       23    0.002    0.000    2.359    0.103 variable.py:1568(concat)
       70    0.000    0.000    2.283    0.033 common.py:45(wrapped_func)
       10    0.000    0.000    2.214    0.221 groupby.py:846(reduce)
       10    0.000    0.000    2.208    0.221 resample.py:178(map)
       10    0.000    0.000    2.203    0.220 groupby.py:759(map)
       10    0.000    0.000    2.203    0.220 groupby.py:823(_combine)
       10    0.002    0.000    2.173    0.217 groupby.py:736(_concat_shortcut)
      120    0.003    0.000    2.138    0.018 api.py:445(maybe_decode_store)
     1210    0.006    0.000    2.117    0.002 groupby.py:805(<genexpr>)
        2    0.000    0.000    2.045    1.023 testing.py:1(<module>)
     1260    0.020    0.000    1.750    0.001 variable.py:1475(reduce)
     1200    0.004    0.000    1.687    0.001 groupby.py:883(reduce_array)
     1220    0.008    0.000    1.670    0.001 duck_array_ops.py:510(mean)
     1260    0.005    0.000    1.654    0.001 duck_array_ops.py:290(f)
     1220    0.003    0.000    1.645    0.001 nanops.py:135(nanmean)
     1220    0.010    0.000    1.642    0.001 reductions.py:602(nanmean)
     1220    0.022    0.000    1.599    0.001 reductions.py:42(reduction)
      120    0.004    0.000    1.385    0.012 conventions.py:513(decode_cf)
67349/60509    0.022    0.000    1.078    0.000 {built-in method builtins.next}
     1687    0.020    0.000    1.057    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    1.015    1.015 dataarray.py:1(<module>)
     2480    0.010    0.000    1.005    0.000 frame.py:414(__init__)
     1230    0.010    0.000    0.985    0.001 construction.py:213(init_dict)
        1    0.000    0.000    0.980    0.980 dataset_plot.py:1(<module>)
        1    0.000    0.000    0.975    0.975 alignment.py:1(<module>)
        8    0.000    0.000    0.974    0.122 common.py:1(<module>)
        2    0.000    0.000    0.971    0.486 variable.py:1(<module>)
        1    0.000    0.000    0.955    0.955 formatting_html.py:1(<module>)
14689/11329    0.018    0.000    0.951    0.000 contextlib.py:107(__enter__)
        2    0.000    0.000    0.951    0.476 __init__.py:16(<module>)
       20    0.000    0.000    0.947    0.047 base.py:203(collections_to_dsk)
       20    0.002    0.000    0.944    0.047 base.py:219(<listcomp>)
       20    0.005    0.000    0.943    0.047 optimization.py:23(optimize)
     3360    0.009    0.000    0.876    0.000 netCDF4_.py:360(_acquire)
     6720    0.003    0.000    0.845    0.000 file_manager.py:183(acquire_context)
     3360    0.809    0.000    0.842    0.000 file_manager.py:194(_acquire_with_cache_info)
        2    0.000    0.000    0.827    0.414 __init__.py:3234(_call_aside)
        1    0.000    0.000    0.827    0.827 __init__.py:3251(_initialize_master_working_set)
      600    0.000    0.000    0.817    0.001 netCDF4_.py:365(ds)
      120    0.001    0.000    0.816    0.007 netCDF4_.py:320(open)
      120    0.001    0.000    0.813    0.007 netCDF4_.py:294(__init__)
     1210    0.005    0.000    0.806    0.001 concat.py:65(concat)
       15    0.000    0.000    0.794    0.053 __init__.py:3(<module>)
       11    0.000    0.000    0.774    0.070 __init__.py:2(<module>)
     1230    0.043    0.000    0.764    0.001 blockwise.py:12(blockwise)
       34    0.002    0.000    0.724    0.021 __init__.py:611(add_entry)
        1    0.000    0.000    0.713    0.713 GC_tools.py:4(<module>)
      952    0.003    0.000    0.712    0.001 __init__.py:2037(find_on_path)
13109/10243    0.067    0.000    0.709    0.000 inspect.py:2198(_signature_from_callable)
      120    0.002    0.000    0.707    0.006 dataset.py:1687(chunk)
      120    0.002    0.000    0.700    0.006 dataset.py:1755(<dictcomp>)
     2040    0.008    0.000    0.694    0.000 dataset.py:1741(maybe_chunk)
     1687    0.607    0.000    0.677    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.677    0.677 lowess_smoother.py:3(<module>)
1952405/1950919    0.403    0.000    0.649    0.000 {built-in method builtins.isinstance}
     1560    0.018    0.000    0.629    0.000 variable.py:934(chunk)
        3    0.000    0.000    0.625    0.208 __init__.py:19(<module>)
        1    0.000    0.000    0.619    0.619 widgets.py:1(<module>)
      120    0.012    0.000    0.614    0.005 conventions.py:436(decode_cf_variables)
     7093    0.006    0.000    0.603    0.000 inspect.py:3081(signature)
     1808    0.007    0.000    0.599    0.000 __init__.py:2124(distributions_from_metadata)
     7093    0.007    0.000    0.597    0.000 inspect.py:2829(from_callable)
     2040    0.031    0.000    0.592    0.000 conventions.py:260(decode_cf_variable)
