Thu Dec  9 10:56:27 2021    cProfile_output

         16113513 function calls (15818872 primitive calls) in 21.766 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
      403    0.000    0.000    0.007    0.000 <__array_function__ internals>:2(all)
       11    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(allclose)
     1646    0.001    0.000    0.012    0.000 <__array_function__ internals>:2(amax)
     1616    0.001    0.000    0.012    0.000 <__array_function__ internals>:2(amin)
     2322    0.002    0.000    0.027    0.000 <__array_function__ internals>:2(any)
      120    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(argmax)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argmin)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
      972    0.001    0.000    0.008    0.000 <__array_function__ internals>:2(around)
       21    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
     1384    0.002    0.000    0.016    0.000 <__array_function__ internals>:2(atleast_1d)
       80    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_2d)
       48    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_3d)
     1055    0.001    0.000    0.026    0.000 <__array_function__ internals>:2(broadcast_arrays)
      260    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(broadcast_to)
      274    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
       80    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(clip)
     1075    0.001    0.000    0.017    0.000 <__array_function__ internals>:2(column_stack)
     4123    0.005    0.000    0.028    0.000 <__array_function__ internals>:2(concatenate)
     2522    0.003    0.000    0.010    0.000 <__array_function__ internals>:2(copyto)
      120    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(cumprod)
      314    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(cumsum)
     1210    0.002    0.000    0.045    0.000 <__array_function__ internals>:2(diag)
      181    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(diff)
     3737    0.003    0.000    0.016    0.000 <__array_function__ internals>:2(dot)
       50    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(full_like)
      160    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(hstack)
     1210    0.001    0.000    0.048    0.000 <__array_function__ internals>:2(inv)
      141    0.000    0.000    0.010    0.000 <__array_function__ internals>:2(isclose)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(lexsort)
       80    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(linspace)
     1220    0.002    0.000    0.028    0.000 <__array_function__ internals>:2(mean)
       40    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(nanargmin)
      680    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(ndim)
       80    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ones_like)
      523    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(prod)
       80    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ptp)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(putmask)
     4210    0.004    0.000    0.031    0.000 <__array_function__ internals>:2(ravel)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel_multi_index)
       20    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(repeat)
5787/3004    0.003    0.000    0.064    0.000 <__array_function__ internals>:2(result_type)
      972    0.001    0.000    0.012    0.000 <__array_function__ internals>:2(round_)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sort)
       10    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(stack)
     1220    0.002    0.000    0.024    0.000 <__array_function__ internals>:2(sum)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(tile)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(trim_zeros)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unravel_index)
       80    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(vstack)
       20    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(zeros_like)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
66005/60189    0.046    0.000    3.089    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     3387    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:103(release)
     2100    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     2100    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2100    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:151(__exit__)
     3387    0.013    0.000    0.019    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
