datetime,Dry mixing ratio of species ALD2 (mol mol-1 dry)
2015-01-01 12:00:00,1.5211228e-10
2015-01-02 12:00:00,1.7455955e-10
2015-01-03 12:00:00,2.1432299e-10
2015-01-04 12:00:00,2.5871344e-10
2015-01-05 12:00:00,2.8962135e-10
2015-01-06 12:00:00,2.8123956e-10
2015-01-07 12:00:00,2.3895655e-10
2015-01-08 12:00:00,1.888034e-10
2015-01-09 12:00:00,1.828399e-10
2015-01-10 12:00:00,1.8593238e-10
2015-01-11 12:00:00,2.2089996e-10
2015-01-12 12:00:00,1.9966184e-10
2015-01-13 12:00:00,1.881975e-10
2015-01-14 12:00:00,1.8137342e-10
2015-01-15 12:00:00,2.0471976e-10
2015-01-16 12:00:00,2.0579692e-10
2015-01-17 12:00:00,2.3001162e-10
2015-01-18 12:00:00,2.1242233e-10
2015-01-19 12:00:00,1.6538841e-10
2015-01-20 12:00:00,1.265781e-10
2015-01-21 12:00:00,1.3988959e-10
2015-01-22 12:00:00,1.471461e-10
2015-01-23 12:00:00,1.7261421e-10
2015-01-24 12:00:00,1.7582547e-10
2015-01-25 12:00:00,1.7363964e-10
2015-01-26 12:00:00,1.8748832e-10
2015-01-27 12:00:00,2.2464196e-10
2015-01-28 12:00:00,2.460025e-10
2015-01-29 12:00:00,2.492171e-10
2015-01-30 12:00:00,2.2829887e-10
2015-01-31 12:00:00,1.627776e-10
2015-02-01 12:00:00,1.5218451e-10
2015-02-02 12:00:00,1.2550642e-10
2015-02-03 12:00:00,1.3379313e-10
2015-02-04 12:00:00,1.4264424e-10
2015-02-05 12:00:00,1.395027e-10
2015-02-06 12:00:00,1.3788228e-10
2015-02-07 12:00:00,1.0485257e-10
2015-02-08 12:00:00,8.6482266e-11
2015-02-09 12:00:00,8.812154e-11
2015-02-10 12:00:00,8.459602e-11
2015-02-11 12:00:00,9.432734e-11
2015-02-12 12:00:00,1.3050135e-10
2015-02-13 12:00:00,1.5603993e-10
2015-02-14 12:00:00,1.822755e-10
2015-02-15 12:00:00,1.8158491e-10
2015-02-16 12:00:00,1.7332377e-10
2015-02-17 12:00:00,1.850821e-10
2015-02-18 12:00:00,1.7431814e-10
2015-02-19 12:00:00,1.6699514e-10
2015-02-20 12:00:00,1.895785e-10
2015-02-21 12:00:00,2.017375e-10
2015-02-22 12:00:00,2.0017825e-10
2015-02-23 12:00:00,1.8516248e-10
2015-02-24 12:00:00,2.0458385e-10
2015-02-25 12:00:00,2.0247683e-10
2015-02-26 12:00:00,2.0091223e-10
2015-02-27 12:00:00,3.2006436e-10
2015-02-28 12:00:00,2.9714411e-10
2015-03-01 12:00:00,3.4285377e-10
2015-03-02 12:00:00,3.8753514e-10
2015-03-03 12:00:00,3.8554746e-10
2015-03-04 12:00:00,4.2915185e-10
2015-03-05 12:00:00,3.69759e-10
2015-03-06 12:00:00,2.9427258e-10
2015-03-07 12:00:00,2.9185357e-10
2015-03-08 12:00:00,2.1966512e-10
2015-03-09 12:00:00,2.3392582e-10
2015-03-10 12:00:00,3.9689524e-10
2015-03-11 12:00:00,3.9259238e-10
2015-03-12 12:00:00,4.711708e-10
2015-03-13 12:00:00,5.930337e-10
2015-03-14 12:00:00,5.2906657e-10
2015-03-15 12:00:00,3.959173e-10
2015-03-16 12:00:00,2.5112443e-10
2015-03-17 12:00:00,2.382835e-10
2015-03-18 12:00:00,3.3639708e-10
2015-03-19 12:00:00,3.0182762e-10
2015-03-20 12:00:00,2.0426118e-10
2015-03-21 12:00:00,1.7926477e-10
2015-03-22 12:00:00,1.8824368e-10
2015-03-23 12:00:00,1.8412975e-10
2015-03-24 12:00:00,2.0020592e-10
2015-03-25 12:00:00,2.1979281e-10
2015-03-26 12:00:00,2.558151e-10
2015-03-27 12:00:00,2.9958305e-10
2015-03-28 12:00:00,3.4611178e-10
2015-03-29 12:00:00,4.0570816e-10
2015-03-30 12:00:00,4.37147e-10
2015-03-31 12:00:00,5.0757165e-10
2015-04-01 12:00:00,5.834289e-10
2015-04-02 12:00:00,6.09807e-10
2015-04-03 12:00:00,3.8879877e-10
2015-04-04 12:00:00,3.0193317e-10
2015-04-05 12:00:00,2.8125957e-10
2015-04-06 12:00:00,2.4631058e-10
2015-04-07 12:00:00,1.8486532e-10
2015-04-08 12:00:00,2.2573377e-10
2015-04-09 12:00:00,2.9887348e-10
2015-04-10 12:00:00,3.4210124e-10
2015-04-11 12:00:00,3.850999e-10
2015-04-12 12:00:00,3.5627384e-10
2015-04-13 12:00:00,3.361768e-10
2015-04-14 12:00:00,3.065591e-10
2015-04-15 12:00:00,3.1746802e-10
2015-04-16 12:00:00,2.907114e-10
2015-04-17 12:00:00,2.645368e-10
2015-04-18 12:00:00,2.6248992e-10
2015-04-19 12:00:00,2.666908e-10
2015-04-20 12:00:00,2.617207e-10
2015-04-21 12:00:00,2.8614208e-10
2015-04-22 12:00:00,3.048508e-10
2015-04-23 12:00:00,3.454875e-10
2015-04-24 12:00:00,4.3576762e-10
2015-04-25 12:00:00,4.898551e-10
2015-04-26 12:00:00,4.7705145e-10
2015-04-27 12:00:00,3.5871592e-10
2015-04-28 12:00:00,3.2343905e-10
2015-04-29 12:00:00,4.1659837e-10
2015-04-30 12:00:00,5.1305143e-10
2015-05-01 12:00:00,5.405408e-10
2015-05-02 12:00:00,5.5534927e-10
2015-05-03 12:00:00,4.8920656e-10
2015-05-04 12:00:00,4.725208e-10
2015-05-05 12:00:00,3.52715e-10
2015-05-06 12:00:00,2.442317e-10
2015-05-07 12:00:00,3.338601e-10
2015-05-08 12:00:00,4.2194193e-10
2015-05-09 12:00:00,5.1725313e-10
2015-05-10 12:00:00,4.8707116e-10
2015-05-11 12:00:00,4.1283432e-10
2015-05-12 12:00:00,3.7510997e-10
2015-05-13 12:00:00,3.6563227e-10
