datetime,Dry mixing ratio of species ATO2 (mol mol-1 dry),Dry mixing ratio of species A3O2 (mol mol-1 dry),Dry mixing ratio of species IDHNBOO (mol mol-1 dry),Dry mixing ratio of species ICHOO (mol mol-1 dry),Dry mixing ratio of species IDHNDOO2 (mol mol-1 dry),Dry mixing ratio of species IDHNDOO1 (mol mol-1 dry),Dry mixing ratio of species ICNOO (mol mol-1 dry),Dry mixing ratio of species C4HVP1 (mol mol-1 dry),Dry mixing ratio of species BRO2 (mol mol-1 dry)
2016-01-01 00:30:00,6.6504405e-16,2.7111243e-14,3.7645596e-15,2.9305836e-21,9.261363e-20,1.3314138e-19,2.6372212e-17,0.0,7.670094e-15
2016-01-01 01:30:00,6.381747e-16,2.5513403e-14,3.3342158e-15,3.112728e-21,1.06494315e-19,1.5335078e-19,3.676795e-17,0.0,7.396117e-15
2016-01-01 02:30:00,6.1246856e-16,2.4190622e-14,2.8598077e-15,3.2890385e-21,1.2060491e-19,1.7406784e-19,4.917585e-17,0.0,7.170343e-15
2016-01-01 03:30:00,5.909475e-16,2.3103835e-14,2.4081121e-15,3.438346e-21,1.3388452e-19,1.9394349e-19,6.358369e-17,0.0,6.983264e-15
2016-01-01 04:30:00,5.752506e-16,2.226714e-14,2.0064972e-15,3.541603e-21,1.4500042e-19,2.1112656e-19,7.984158e-17,0.0,6.827702e-15
2016-01-01 05:30:00,5.6133403e-16,2.1605012e-14,1.6640514e-15,3.6167907e-21,1.5522083e-19,2.274593e-19,9.7745564e-17,0.0,6.6981887e-15
2016-01-01 06:30:00,5.499576e-16,2.1086182e-14,1.3785575e-15,3.666294e-21,1.6467672e-19,2.431924e-19,1.171977e-16,0.0,6.591144e-15
2016-01-01 07:30:00,5.422723e-16,2.0723808e-14,1.1427041e-15,3.685591e-21,1.73045e-19,2.5789046e-19,1.3816569e-16,0.0,6.5034546e-15
2016-01-01 08:30:00,1.1499876e-14,1.5038414e-13,1.4648817e-16,6.890485e-20,3.1998525e-18,5.0033355e-18,4.5590415e-16,1.5522228e-17,7.614426e-15
2016-01-01 09:30:00,3.4110688e-14,1.526149e-13,3.8337945e-17,5.804888e-19,2.1913268e-17,4.0055804e-17,1.4517453e-15,8.7029035e-17,1.8521436e-14
2016-01-01 10:30:00,5.560921e-14,1.6859124e-13,4.8764772e-17,1.3490764e-18,3.2116617e-17,7.2628754e-17,1.2860808e-15,8.4131435e-17,2.9996584e-14
2016-01-01 11:30:00,7.5960105e-14,2.0119332e-13,4.601366e-17,1.9654527e-18,2.0457158e-17,6.364624e-17,6.5148523e-16,3.9505316e-17,4.001721e-14
2016-01-01 12:30:00,9.118124e-14,2.2811364e-13,3.9252916e-17,2.3056632e-18,7.1188355e-18,3.4027616e-17,2.3325564e-16,1.3090419e-17,4.645539e-14
2016-01-01 13:30:00,9.9353915e-14,2.419283e-13,3.1228967e-17,2.3142843e-18,1.7495821e-18,1.27406055e-17,7.317478e-17,3.744322e-18,4.876942e-14
2016-01-01 14:30:00,9.905327e-14,2.3989046e-13,2.3902443e-17,2.0088871e-18,3.7898642e-19,4.4828698e-18,2.6147932e-17,1.1101027e-18,4.716439e-14
2016-01-01 15:30:00,8.9794796e-14,2.2170228e-13,1.815421e-17,1.5001341e-18,1.1704484e-19,1.783729e-18,1.2732011e-17,4.2428826e-19,4.2117846e-14
2016-01-01 16:30:00,7.202859e-14,1.8917554e-13,1.405011e-17,9.261987e-19,7.7050724e-20,7.898942e-19,8.023073e-18,2.8431865e-19,3.414561e-14
2016-01-01 17:30:00,4.7641643e-14,1.5191674e-13,1.22757706e-17,3.9716358e-19,7.005445e-20,3.078083e-19,5.585957e-18,3.2158055e-19,2.4399807e-14
2016-01-01 18:30:00,2.0537674e-14,1.445497e-13,4.034184e-17,7.322537e-20,3.1413305e-20,6.4307573e-20,4.5947625e-18,2.5511954e-19,1.618542e-14
2016-01-01 19:30:00,2.8926567e-15,8.7203255e-14,4.3241021e-16,2.4272821e-21,3.6725826e-21,5.1558042e-21,4.3970212e-18,1.3250915e-21,1.3763054e-14
2016-01-01 20:30:00,1.1039503e-15,6.1838846e-14,1.2552549e-15,1.979951e-21,1.0874835e-20,1.5227885e-20,4.8651455e-18,0.0,1.2516142e-14
2016-01-01 21:30:00,8.0628616e-16,4.801859e-14,2.0389184e-15,1.9275102e-21,2.2129813e-20,3.1437345e-20,6.3019078e-18,0.0,1.1593609e-14
2016-01-01 22:30:00,7.1871974e-16,3.9655308e-14,2.5055688e-15,2.0318522e-21,3.3670254e-20,4.8136118e-20,8.838097e-18,0.0,1.0831206e-14
2016-01-01 23:30:00,6.7530125e-16,3.4303774e-14,2.623035e-15,2.1923669e-21,4.429959e-20,6.368884e-20,1.2530788e-17,0.0,1.0172634e-14
2016-01-02 00:30:00,6.5068986e-16,3.072237e-14,2.4917515e-15,2.3979986e-21,5.4619343e-20,7.8852175e-20,1.7547472e-17,0.0,9.600983e-15
2016-01-02 01:30:00,6.3214424e-16,2.8192472e-14,2.2320754e-15,2.6139144e-21,6.5260557e-20,9.380294e-20,2.406669e-17,0.0,9.1044175e-15
2016-01-02 02:30:00,6.160105e-16,2.6324749e-14,1.930228e-15,2.8084452e-21,7.72501e-20,1.10327e-19,3.2172988e-17,0.0,8.671484e-15
2016-01-02 03:30:00,6.026782e-16,2.4914935e-14,1.6357232e-15,2.9796863e-21,8.9428564e-20,1.2753827e-19,4.180685e-17,0.0,8.293521e-15
2016-01-02 04:30:00,5.915669e-16,2.3836515e-14,1.3716871e-15,3.1297982e-21,1.006409e-19,1.4398542e-19,5.281562e-17,0.0,7.96418e-15
2016-01-02 05:30:00,5.82459e-16,2.2998544e-14,1.1451011e-15,3.2867424e-21,1.1116692e-19,1.6000412e-19,6.504718e-17,0.0,7.677802e-15
2016-01-02 06:30:00,5.761048e-16,2.2356723e-14,9.545967e-16,3.4715526e-21,1.2187405e-19,1.7684907e-19,7.842877e-17,0.0,7.429861e-15
2016-01-02 07:30:00,5.728265e-16,2.1912509e-14,7.954977e-16,3.6837854e-21,1.3312884e-19,1.9507707e-19,9.2947255e-17,0.0,7.2153045e-15
2016-01-02 08:30:00,1.27200005e-14,1.6039954e-13,1.0222102e-16,7.828881e-20,2.712355e-18,4.171234e-18,3.3026286e-16,1.1784111e-17,7.778041e-15
2016-01-02 09:30:00,3.6578633e-14,1.385718e-13,3.039618e-17,7.2747986e-19,1.902878e-17,3.4643158e-17,1.0352444e-15,6.311125e-17,1.8352109e-14
2016-01-02 10:30:00,5.939042e-14,1.5738445e-13,3.9135966e-17,1.7341199e-18,2.4287532e-17,5.769073e-17,8.318729e-16,5.4166364e-17,2.8958613e-14
2016-01-02 11:30:00,8.059187e-14,1.8832161e-13,3.6621936e-17,2.5056163e-18,1.1851016e-17,3.9827443e-17,3.7122508e-16,2.2166263e-17,3.7996035e-14
2016-01-02 12:30:00,9.639411e-14,2.1264806e-13,2.870798e-17,2.9507212e-18,3.9669572e-18,2.0116788e-17,1.2626414e-16,6.712041e-18,4.3557666e-14
2016-01-02 13:30:00,1.0485392e-13,2.2441407e-13,2.2788698e-17,3.0158672e-18,8.675464e-19,7.73144e-18,4.2300147e-17,1.8247627e-18,4.5291855e-14
2016-01-02 14:30:00,1.0449847e-13,2.2107851e-13,1.7284257e-17,2.653326e-18,1.7505834e-19,2.70159e-18,1.8431842e-17,5.338226e-19,4.350514e-14
2016-01-02 15:30:00,9.485519e-14,2.0321086e-13,1.2742477e-17,2.0091127e-18,7.3121655e-20,9.76392e-19,1.1499538e-17,2.5475224e-19,3.8662646e-14
2016-01-02 16:30:00,7.6357215e-14,1.7210261e-13,9.411098e-18,1.2656043e-18,7.4581596e-20,3.728128e-19,8.4174685e-18,2.5757714e-19,3.1207994e-14
2016-01-02 17:30:00,5.096925e-14,1.3577911e-13,8.277664e-18,5.6054587e-19,8.63277e-20,1.4031434e-19,6.191367e-18,3.8313264e-19,2.2060124e-14
2016-01-02 18:30:00,2.2982752e-14,1.2707469e-13,4.1223687e-17,1.05028176e-19,4.310606e-20,3.430354e-20,5.086356e-18,3.3052728e-19,1.4137639e-14
2016-01-02 19:30:00,3.3296416e-15,7.84094e-14,7.086457e-16,3.0704437e-21,5.6399077e-21,6.4780747e-21,4.911709e-18,1.820285e-21,1.19460834e-14
2016-01-02 20:30:00,1.204196e-15,5.6275243e-14,2.0698593e-15,2.5076978e-21,1.8483695e-20,2.5382824e-20,5.7693573e-18,4.1027345e-29,1.08651584e-14
2016-01-02 21:30:00,8.6745946e-16,4.3656793e-14,3.185986e-15,2.395044e-21,3.7212752e-20,5.2907968e-20,8.1416054e-18,0.0,1.0040753e-14
2016-01-02 22:30:00,7.7249887e-16,3.5750445e-14,3.63719e-15,2.3987816e-21,5.470071e-20,7.894975e-20,1.2129344e-17,0.0,9.3491795e-15
2016-01-02 23:30:00,7.238999e-16,3.0557882e-14,3.5278859e-15,2.4230883e-21,6.864139e-20,1.0007541e-19,1.7642082e-17,0.0,8.751155e-15
2016-01-03 00:30:00,6.912844e-16,2.7033946e-14,3.1195317e-15,2.454758e-21,8.043516e-20,1.1807803e-19,2.4654095e-17,0.0,8.233229e-15
2016-01-03 01:30:00,6.676861e-16,2.4585602e-14,2.6183245e-15,2.4874018e-21,9.370438e-20,1.3832202e-19,3.3256022e-17,0.0,7.7864274e-15
2016-01-03 02:30:00,6.497722e-16,2.2860042e-14,2.1367317e-15,2.5149156e-21,1.1002802e-19,1.6355595e-19,4.3514157e-17,0.0,7.4035465e-15
2016-01-03 03:30:00,6.362153e-16,2.1650216e-14,1.7197071e-15,2.5330558e-21,1.2871672e-19,1.9288546e-19,5.539825e-17,0.0,7.077722e-15
2016-01-03 04:30:00,6.2715516e-16,2.0832279e-14,1.3754542e-15,2.5456746e-21,1.4781993e-19,2.2356334e-19,6.888461e-17,0.0,6.8019236e-15
2016-01-03 05:30:00,6.196648e-16,2.025727e-14,1.0982606e-15,2.5805016e-21,1.6476523e-19,2.5138619e-19,8.377364e-17,0.0,6.5699602e-15
2016-01-03 06:30:00,6.1518404e-16,1.987338e-14,8.7730993e-16,2.669774e-21,1.8136522e-19,2.787928e-19,1.0020406e-16,0.0,6.376839e-15
2016-01-03 07:30:00,6.135646e-16,1.9655532e-14,7.0176923e-16,2.782256e-21,1.9621263e-19,3.0356293e-19,1.1844534e-16,0.0,6.21718e-15
2016-01-03 08:30:00,1.4029528e-14,1.8533333e-13,8.5956394e-17,5.365726e-20,3.6526373e-18,5.887442e-18,4.049855e-16,1.4218882e-17,7.727507e-15
2016-01-03 09:30:00,3.903979e-14,1.6776008e-13,4.0391123e-17,4.6515607e-19,2.3500573e-17,4.4217972e-17,1.2998445e-15,8.1270416e-17,1.9793098e-14
2016-01-03 10:30:00,6.1144706e-14,1.7783713e-13,4.5983463e-17,1.0879977e-18,2.665421e-17,6.568766e-17,1.0060928e-15,6.6744145e-17,2.9977187e-14
2016-01-03 11:30:00,8.1404684e-14,2.0112457e-13,3.8846383e-17,1.623203e-18,1.1528625e-17,4.13553e-17,4.2512994e-16,2.521753e-17,3.8148406e-14
2016-01-03 12:30:00,9.6510595e-14,2.21607e-13,2.855739e-17,1.9946766e-18,3.1509816e-18,1.7829466e-17,1.322194e-16,6.8470057e-18,4.299548e-14
2016-01-03 13:30:00,1.04829624e-13,2.3222106e-13,2.1963463e-17,2.1530945e-18,7.182547e-19,6.9215392e-18,4.2553953e-17,1.7230217e-18,4.4462677e-14
2016-01-03 14:30:00,1.0459408e-13,2.2928914e-13,1.7178819e-17,1.9881083e-18,1.533951e-19,2.5332183e-18,2.0313622e-17,4.920027e-19,4.2666242e-14
2016-01-03 15:30:00,9.529999e-14,2.1304414e-13,1.34043344e-17,1.5667898e-18,5.1039312e-20,9.546062e-19,1.4248418e-17,2.002629e-19,3.8107053e-14
2016-01-03 16:30:00,7.7338614e-14,1.8583945e-13,1.0183747e-17,1.0152045e-18,4.3012022e-20,3.8206744e-19,1.1194379e-17,1.5231127e-19,3.1237945e-14
2016-01-03 17:30:00,5.261684e-14,1.584477e-13,8.187088e-18,4.6423475e-19,4.8452925e-20,1.4621584e-19,8.5910184e-18,1.8327868e-19,2.3015723e-14
2016-01-03 18:30:00,2.4268844e-14,1.7314461e-13,1.8071388e-17,9.302425e-20,2.5235219e-20,3.2636482e-20,6.955941e-18,1.5998717e-19,1.5770585e-14
2016-01-03 19:30:00,2.8514297e-15,9.432037e-14,1.7023957e-16,3.0076527e-21,2.87235e-21,3.3820188e-21,6.440306e-18,8.922272e-22,1.2775112e-14
2016-01-03 20:30:00,1.1346178e-15,6.2240245e-14,4.4330835e-16,2.3310075e-21,7.521866e-21,9.931282e-21,6.629028e-18,6.755921e-30,1.1332107e-14
2016-01-03 21:30:00,8.7618396e-16,4.5713596e-14,6.781629e-16,2.5767167e-21,1.5481716e-20,2.0995015e-20,7.639794e-18,1.6919231e-37,1.03209076e-14
2016-01-03 22:30:00,7.760317e-16,3.5888952e-14,7.949593e-16,2.5307874e-21,2.3890118e-20,3.3063094e-20,9.516523e-18,0.0,9.51438e-15
2016-01-03 23:30:00,7.200645e-16,2.9648715e-14,7.9563954e-16,2.5041728e-21,3.109096e-20,4.365503e-20,1.230025e-17,0.0,8.8293495e-15
2016-01-04 00:30:00,6.833644e-16,2.555259e-14,7.2152755e-16,2.446084e-21,3.616442e-20,5.106482e-20,1.589992e-17,0.0,8.235697e-15
2016-01-04 01:30:00,6.578644e-16,2.276447e-14,6.156132e-16,2.3563268e-21,4.0518887e-20,5.765937e-20,2.024411e-17,0.0,7.720447e-15
