datetime,Dry mixing ratio of species O3 (mol mol-1 dry),Dry mixing ratio of species NO (mol mol-1 dry),Dry mixing ratio of species NO2 (mol mol-1 dry),OH concentration immediately after chemistry (molec cm-3),HO2 concentration immediately after chemistry (mol mol-1),Photolysis rate for O3 -> O1D (s-1),Photolysis rate for species NO2 (s-1)
2016-01-01 00:30:00,2.9254904e-08,1.1973408e-13,6.0812876e-11,3266.7632,1.171684e-13,0.0,0.0
2016-01-01 01:30:00,2.9221502e-08,1.1808921e-13,6.2489056e-11,3172.534,1.1350221e-13,0.0,0.0
2016-01-01 02:30:00,2.9191112e-08,1.1654e-13,6.3880345e-11,3071.4624,1.0977028e-13,0.0,0.0
2016-01-01 03:30:00,2.916437e-08,1.1580873e-13,6.4766206e-11,2978.9802,1.064152e-13,0.0,0.0
2016-01-01 04:30:00,2.9140594e-08,1.1527414e-13,6.529167e-11,2906.3616,1.0378566e-13,0.0,0.0
2016-01-01 05:30:00,2.911946e-08,1.1513213e-13,6.5570105e-11,2834.9202,1.0118274e-13,0.0,0.0
2016-01-01 06:30:00,2.9100434e-08,1.1538746e-13,6.570023e-11,2773.6755,9.8824256e-14,0.0,0.0
2016-01-01 07:30:00,2.9082814e-08,1.1530773e-13,6.567938e-11,2730.5427,9.7058246e-14,0.0,0.0
2016-01-01 08:30:00,2.9033394e-08,1.5327445e-12,4.444154e-11,51241.613,4.5132767e-13,1.499987e-07,0.00048493032
2016-01-01 09:30:00,2.894434e-08,6.1022368e-12,3.299448e-11,482895.22,2.2816918e-12,2.1931141e-06,0.0030651744
2016-01-01 10:30:00,2.884506e-08,8.668643e-12,2.7631338e-11,1378263.5,5.195509e-12,9.958693e-06,0.005618954
2016-01-01 11:30:00,2.8737217e-08,9.11175e-12,2.450971e-11,2426317.5,8.013818e-12,2.5661842e-05,0.0070334715
2016-01-01 12:30:00,2.8601047e-08,8.934072e-12,2.2473917e-11,3263136.2,9.980055e-12,4.81929e-05,0.007839931
2016-01-01 13:30:00,2.8446415e-08,8.659952e-12,2.1234441e-11,3637859.0,1.082858e-11,7.387152e-05,0.00817456
2016-01-01 14:30:00,2.8306133e-08,8.341476e-12,2.0620098e-11,3437604.0,1.0451465e-11,9.7875745e-05,0.008011258
2016-01-01 15:30:00,2.82087e-08,7.935602e-12,2.0505476e-11,2730486.5,8.894957e-12,0.00011601851,0.0073672053
2016-01-01 16:30:00,2.8169707e-08,7.2198957e-12,2.0728905e-11,1723438.8,6.327501e-12,0.00012628442,0.006206298
2016-01-01 17:30:00,2.8181445e-08,5.307118e-12,2.0965086e-11,720367.44,3.1768431e-12,0.00012978811,0.0040752282
2016-01-01 18:30:00,2.8241367e-08,1.6453245e-12,1.9509028e-11,125356.85,7.947343e-13,0.00013023836,0.0011244147
2016-01-01 19:30:00,2.8331561e-08,3.2773307e-13,2.4295248e-11,3935.345,1.3120528e-13,0.00013023932,2.316614e-06
2016-01-01 20:30:00,2.8382537e-08,2.1443622e-13,3.3131962e-11,3052.6567,1.0740343e-13,0.00013023932,0.0
