Day of year,Dry mixing ratio of species ALD2 (mol mol-1 dry)
1,3.0403605e-10
2,3.012469e-10
3,2.861835e-10
4,2.8451752e-10
5,3.0191774e-10
6,2.9414007e-10
7,2.6750854e-10
8,2.631154e-10
9,2.8368133e-10
10,3.0046596e-10
11,3.0176583e-10
12,2.8337926e-10
13,2.7377703e-10
14,2.667395e-10
15,2.7340868e-10
16,2.740956e-10
17,2.7645428e-10
18,2.7778643e-10
19,2.7887762e-10
20,2.7142374e-10
21,2.7228067e-10
22,2.8306454e-10
23,2.7598543e-10
24,2.7044308e-10
25,2.5535254e-10
26,2.5405e-10
27,2.6438898e-10
28,2.748828e-10
29,2.9301533e-10
30,3.1958022e-10
31,3.2314576e-10
