,analysis_value,geo_2x25,all_2x25
2016-01-17,256.94399999999996,344.51025,311.7593
2016-02-07,143.69,48.360893,43.864418
2016-02-14,164.6725,70.94477,65.90927
2016-02-21,137.147,20.1924,19.262386
2016-02-28,129.485,56.189987,54.486626
2016-04-03,197.022,84.79331,74.17135
2016-04-10,436.823,44.31687,43.634594
2016-07-03,194.351,105.78146,101.409065
2016-12-12,173.829,78.46734,76.92105
2016-01-04,637.8629999999999,963.4926,863.96857
2016-01-11,682.6980000000001,834.35785,734.1473
2016-01-18,1055.3255,1705.6449,1437.1658
2016-01-26,254.15200000000002,229.19568,206.719
2016-02-01,240.416,182.2135,161.29504
2016-02-08,721.6495,890.1036,809.7005
2016-02-15,637.9960000000001,2152.6282,1829.7135
2016-02-22,309.769,420.34274,368.4872
2016-02-28,2601.7019999999998,445.99127,380.07574
2016-03-08,794.403,2008.8975,1694.7627
2016-03-14,791.5,1126.9877,940.70953
2016-03-22,68.03450000000001,1020.7516,857.60474
2016-03-28,410.61,581.91406,499.01495
2016-04-04,706.7325000000001,823.7035,676.55005
2016-04-11,939.3070000000001,1202.2146,975.94446
2016-04-18,592.1959999999999,1207.0516,985.858
2016-04-25,294.41700000000003,651.1624,546.0285
2016-05-02,621.2740000000001,769.3731,621.7463
2016-05-09,313.969,695.53766,557.50494
2016-05-18,263.7785,571.5677,460.60837
2016-05-24,393.5675,901.7177,736.891
2016-05-30,287.069,750.4516,602.41974
2016-06-06,217.0815,455.4356,362.42493
2016-06-13,132.76999999999998,237.0516,194.11464
2016-06-21,330.8735,445.51828,355.99234
2016-06-27,240.42800000000003,316.6414,254.99808
2016-07-04,236.82800000000003,431.86646,345.75894
2016-07-11,390.7455,341.62912,273.27493
2016-07-18,231.6085,364.5438,291.48492
2016-07-26,311.289,593.73895,471.09427
2016-08-01,386.18050000000005,472.87714,378.77322
2016-08-08,345.754,446.75717,356.5561
2016-08-16,252.85649999999998,491.39847,391.70682
2016-08-22,162.255,279.414,224.63623
2016-09-12,211.166,662.26697,527.2728
2016-09-19,356.181,944.4303,758.3123
2016-09-26,277.599,1051.3466,837.51733
2016-10-04,414.60699999999997,662.45917,538.2053
2016-10-10,597.4435,909.949,735.42444
2016-10-24,328.63149999999996,677.9083,554.9887
2016-10-31,732.6785,63.01678,59.58192
2016-11-07,507.0435,1314.8948,1077.155
2016-11-15,514.2695,332.76694,292.9738
2016-11-21,198.5155,228.35551,191.46342
2016-11-28,686.6110000000001,624.28455,527.3067
2016-12-06,494.3505,191.9845,172.2559
2016-12-12,566.1095,449.82446,398.92316
2016-12-19,1466.556,1048.4637,887.4415
2016-12-27,579.5215000000001,703.5231,627.3618
2016-01-05,589.6505000000001,1109.5167,961.98126
2016-01-12,748.8340000000001,1247.5753,1071.454
2016-01-19,687.644,983.49426,863.4915
2016-01-26,693.3865000000001,969.4487,866.74115
2016-02-02,1270.201,1899.4937,1602.0177
2016-02-16,670.202,887.7336,818.97217
2016-02-23,599.5464999999999,907.8083,817.8085
2016-03-01,537.138,787.586,709.0406
2016-03-08,553.9535000000001,619.3451,582.3118
2016-03-15,257.9425,912.91974,774.3674
2016-03-22,346.00649999999996,406.91144,372.35004
2016-03-29,740.4755,879.8798,750.6621
2016-04-12,326.4725000000001,339.51743,301.12692
2016-04-19,253.828,334.5293,295.5806
2016-04-26,167.324,146.92455,133.12753
2016-05-03,197.0065,325.23914,272.35388
2016-06-07,65.092,30.173565,26.702444
2016-06-14,59.4105,18.91954,17.214937
2016-06-20,68.083,114.430466,97.132286
2016-06-28,57.544,23.945349,24.549652
2016-07-05,63.8445,15.269047,14.291334
2016-07-19,23.1605,25.249687,24.09669
2016-07-26,85.20400000000001,55.7631,50.704742
2016-08-02,59.588499999999996,17.09826,15.678776
2016-08-09,54.769,23.999092,22.650806
2016-08-16,61.28,24.812826,26.927437
2016-08-30,59.3885,30.038542,30.459492
2016-09-06,92.4415,80.520615,70.028404
2016-09-12,131.865,100.58206,86.960144
2016-09-20,89.097,69.817116,66.70334
2016-09-27,125.41999999999999,151.92825,131.66142
2016-10-04,101.753,118.9354,118.08629
2016-10-11,225.745,343.2621,288.57755
2016-10-18,234.9625,710.9394,586.2276
2016-10-25,977.228,235.66257,218.40184
2016-11-01,261.3205,526.54956,444.16846
