,Lon,Lat,Alt
0,-62.5072,82.4508,190.00
1,126.3295,36.5389,87.00
2,-14.4000,-7.9667,90.00
3,5.6322,23.2625,2715.00
4,-27.3750,38.7660,24.00
5,100.3180,-0.2020,875.00
6,-64.8788,32.2647,33.00
7,-156.6114,71.3230,16.00
8,-162.7200,55.2100,57.04
9,144.6900,-40.6830,164.00
10,18.4891,-34.3523,260.00
11,51.8478,-46.4337,202.00
12,-109.4284,-27.1597,69.00
13,144.6560,13.3860,5.00
14,-26.2100,-75.6050,35.00
15,11.0245,47.8011,941.00
16,-20.2884,63.3998,127.00
17,-16.4990,28.3090,2377.90
18,-80.1580,25.6654,6.00
19,-154.8200,19.5200,8.00
20,-90.2732,45.9451,868.00
21,-97.3110,18.9841,4469.00
22,-9.8990,53.3260,26.00
23,-177.3800,28.2100,16.00
24,-155.5763,19.5362,3402.00
25,-35.1853,-5.7952,87.00
26,11.8084,50.0301,1172.00
27,24.1200,67.9700,570.00
28,-64.0527,-64.7742,15.00
29,-59.4320,13.1650,20.00
30,55.5325,-4.6824,7.00
31,-97.4890,36.6070,374.00
32,174.1260,52.7112,28.00
33,-170.5644,-14.2474,60.30
34,-24.8000,-89.9800,2815.00
35,-38.4220,72.5962,3214.54
36,39.5900,-69.0125,19.00
37,126.1328,36.7376,21.00
38,-124.1510,41.0541,112.00
39,128.8887,71.5965,29.00
40,-68.3106,-54.8484,32.00
41,-113.7181,39.9018,1332.00
42,11.8883,78.9067,479.00
